#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
         0.52373     0.000207838     0.000183941     0.000105668     0.000169686     0.000187149      0.00018166
        0.545107      0.00019075     0.000168797     9.68473e-05     0.000155667     0.000171735     0.000166696
        0.567356     0.000174955     0.000154798     8.87051e-05      0.00014273     0.000157489     0.000152867
        0.590514      0.00016049     0.000142023     8.15165e-05     0.000130995     0.000144498     0.000140258
        0.614616     0.000147103     0.000130169     7.46759e-05     0.000120047     0.000132436     0.000128549
        0.639703     0.000134762     0.000119242     6.83804e-05     0.000109965     0.000121318     0.000117758
        0.665813     0.000123431     0.000109221     6.26568e-05     0.000100731     0.000111124     0.000107862
        0.692989     0.000113006     9.99992e-05     5.73843e-05     9.22321e-05     0.000101743     9.87564e-05
        0.721274     0.000103409     9.15058e-05      5.2511e-05        8.44e-05     9.31026e-05     9.03689e-05
        0.750714     9.45887e-05     8.36997e-05     4.80295e-05     7.72005e-05     8.51605e-05     8.26598e-05
        0.781356     8.64887e-05     7.65322e-05     4.39174e-05     7.05904e-05      7.7868e-05     7.55815e-05
        0.813248     7.90515e-05     6.99513e-05     4.01424e-05     6.45211e-05     7.11724e-05     6.90824e-05
        0.846441     7.22253e-05     6.39108e-05     3.66771e-05       5.895e-05     6.50267e-05     6.31171e-05
         0.88099     6.59635e-05       5.837e-05     3.34982e-05     5.38399e-05     5.93891e-05     5.76452e-05
        0.916949     6.02226e-05     5.32901e-05     3.05838e-05      4.9155e-05     5.42206e-05     5.26285e-05
        0.954375     5.49619e-05     4.86352e-05     2.79132e-05     4.48619e-05     4.94845e-05     4.80315e-05
        0.993329     5.01433e-05     4.43713e-05      2.5467e-05     4.09292e-05     4.51465e-05     4.38206e-05
         1.03387     4.57312e-05     4.04668e-05     2.32267e-05     3.73278e-05      4.1174e-05     3.99645e-05
         1.07607     4.16928e-05      3.6893e-05      2.1176e-05     3.40313e-05      3.7538e-05     3.64351e-05
         1.11999      3.7998e-05     3.36236e-05     1.92999e-05     3.10158e-05     3.42114e-05     3.32063e-05
         1.16571     3.46192e-05      3.0634e-05     1.75843e-05     2.82585e-05     3.11696e-05     3.02539e-05
         1.21329     3.15311e-05     2.79014e-05     1.60162e-05     2.57381e-05     2.83893e-05     2.75553e-05
         1.26281     2.87094e-05     2.54046e-05     1.45834e-05      2.3435e-05     2.58488e-05     2.50894e-05
         1.31435     2.61318e-05     2.31237e-05     1.32744e-05     2.13311e-05     2.35281e-05     2.28369e-05
           1.368     2.37782e-05      2.1041e-05     1.20791e-05     1.94101e-05     2.14091e-05     2.07801e-05
         1.42384     2.16303e-05     1.91404e-05     1.09882e-05     1.76569e-05     1.94753e-05     1.89031e-05
         1.48195     1.96709e-05     1.74065e-05     9.99299e-06     1.60575e-05     1.77111e-05     1.71907e-05
         1.54244     1.78837e-05      1.5825e-05     9.08527e-06     1.45987e-05      1.6102e-05     1.56288e-05
          1.6054     1.62542e-05     1.43831e-05     8.25762e-06     1.32686e-05     1.46348e-05     1.42048e-05
         1.67092     1.47689e-05     1.30688e-05     7.50321e-06     1.20563e-05     1.32976e-05     1.29068e-05
         1.73912     1.34158e-05     1.18714e-05     6.81587e-06     1.09517e-05     1.20793e-05     1.17243e-05
         1.81011     1.21834e-05     1.07809e-05     6.18988e-06     9.94575e-06     1.09697e-05     1.06473e-05
